supplier_id,supplier_name,country,component_categories_served,avg_unit_price,avg_lead_time_days,avg_on_time_delivery_rate,avg_defect_rate,avg_warranty_claim_rate,avg_risk_score_external,avg_sustainability_score,final_supplier_score,supplier_category,recommended_action,cost_competitiveness_score,delivery_reliability_score,quality_performance_score,risk_exposure_score,sustainability_score_norm,avg_price_ratio,n_quotes,awarded_rate,total_spend
SUP-058,Kraft Castings S.A. de C.V.,Mexico,Interior; Powertrain,2027.0,34.8,0.8851,0.0208,0.0111,49.4,66.0,62.9,Cost Efficient,Develop as strategic partner,68.1,60.2,73.8,46.1,56.8,0.9499,62,0.4516,69577571.0
SUP-040,Ydra Systems S.A.,Spain,Electronics,960.0,14.2,0.8715,0.0277,0.0149,30.4,64.2,62.0,Cost Efficient,Develop as strategic partner,67.6,54.8,62.2,68.0,53.4,0.9523,29,0.4138,16439453.0
SUP-054,Magna Mobility GmbH,Germany,Powertrain,1971.0,11.0,0.8549,0.0347,0.0191,15.6,62.9,61.7,Cost Efficient,Develop as strategic partner,72.8,48.1,50.0,85.2,51.0,0.9265,62,0.2903,52674866.0
SUP-020,Solaris Drivetrain s.r.o.,Czech Republic,EV Components; Powertrain,7183.0,9.8,0.8737,0.0279,0.0155,23.5,64.4,61.2,Cost Efficient,Develop as strategic partner,60.8,55.6,61.4,76.0,53.7,0.9866,62,0.371,119662339.0
SUP-035,Hanseatic Automotive Sp. z o.o.,Poland,Interior; Powertrain,2324.0,13.0,0.8719,0.03,0.0168,29.5,69.5,60.8,Cost Efficient,Develop as strategic partner,62.9,54.9,57.8,69.1,63.2,0.9761,65,0.3846,57679818.0
SUP-010,Estala Automotive s.r.o.,Czech Republic,Electronics; Interior; Powertrain,497.0,9.8,0.868,0.0292,0.0157,23.2,62.6,60.6,Cost Efficient,Develop as strategic partner,62.8,53.3,59.6,76.4,50.4,0.9763,96,0.2812,62776881.0
SUP-046,Volta Drivetrain GmbH,Germany,Chassis; Interior; Powertrain,1559.0,9.7,0.86,0.0322,0.0174,14.5,59.3,60.3,Cost Efficient,Develop as strategic partner,64.9,50.1,54.5,86.4,44.3,0.9658,97,0.3196,81721136.0
SUP-043,Novaron Drivetrain Sp. z o.o.,Poland,Chassis; Electronics; Interior,259.0,10.9,0.8753,0.027,0.0155,27.1,64.5,60.3,Cost Efficient,Develop as strategic partner,58.3,56.2,62.7,71.9,53.9,0.9989,94,0.3404,56549422.0
SUP-045,Tindal Precision Inc.,USA,Chassis,590.0,29.4,0.8981,0.0197,0.01,30.0,69.6,60.1,Reliable but Expensive,Renegotiate price,39.9,65.4,76.0,68.5,63.3,1.0906,32,0.375,24861385.0
SUP-011,Verde Electronics GmbH,Germany,Chassis; Powertrain; Thermal Management,1568.0,10.8,0.858,0.0342,0.0189,15.9,63.4,59.8,Cost Efficient,Develop as strategic partner,64.6,49.3,50.8,84.8,51.8,0.9677,93,0.3333,76477595.0
SUP-044,"Vortex Automotive Co., Ltd.",China,Electronics; Interior,246.0,60.7,0.9253,0.0114,0.0065,61.3,73.3,59.1,Reliable but Expensive,Reduce dependency,34.0,76.4,89.5,32.3,70.2,1.1197,61,0.4262,48922634.0
SUP-059,Ibex Electronics Inc.,USA,Interior; Thermal Management,420.0,28.3,0.8993,0.0196,0.0108,29.9,68.0,58.2,Reliable but Expensive,Renegotiate price,34.3,65.9,75.7,68.6,60.3,1.1184,65,0.3077,39393366.0
SUP-003,"Zelos Electronics Co., Ltd.",China,EV Components; Electronics,6244.0,60.7,0.9205,0.0124,0.0068,61.6,70.9,57.2,Reliable but Expensive,Reduce dependency,32.1,74.4,87.9,32.0,65.8,1.1293,66,0.5,141447660.0
SUP-015,Vulcan Components s.r.o.,Czech Republic,Chassis; Electronics,660.0,12.0,0.8566,0.0349,0.0195,24.0,63.7,57.1,Cost Efficient,Monitor quality risk,61.4,48.7,49.5,75.5,52.5,0.9834,62,0.2581,39768254.0
SUP-001,Juno Systems Inc.,USA,Chassis; EV Components,5053.0,31.5,0.8476,0.0367,0.0202,36.8,58.5,57.0,Cost Efficient,Monitor quality risk,76.6,45.1,46.6,60.6,42.7,0.9076,61,0.4098,97118862.0
SUP-047,"Juno Components Co., Ltd.",China,Chassis; EV Components; Electronics; Powertrain,3211.0,61.0,0.9052,0.0135,0.0072,61.6,67.7,56.1,Reliable but Expensive,Reduce dependency,36.9,68.3,86.1,32.0,59.8,1.1053,128,0.4141,180328702.0
SUP-032,Zenith Drivetrain GmbH,Germany,Electronics,210.0,12.2,0.8557,0.0327,0.0172,15.6,59.4,55.4,Needs Improvement,Keep as backup supplier,50.9,48.4,54.0,85.1,44.5,1.0357,31,0.3548,23884592.0
SUP-009,Bavaria Systems S.A.,Spain,Chassis,513.0,15.5,0.8465,0.038,0.0204,33.3,62.5,55.3,Cost Efficient,Monitor quality risk,68.2,44.7,44.7,64.7,50.2,0.9498,30,0.4333,16497654.0
SUP-018,Razon Precision S.p.A.,Italy,Chassis; EV Components; Electronics; Powertrain,3897.0,13.5,0.8574,0.0334,0.0184,34.8,64.4,54.5,Needs Improvement,Keep as backup supplier,56.7,49.1,52.2,63.0,53.7,1.0067,125,0.32,148884842.0
SUP-034,Cobalt Tech S.A.,Spain,Chassis,343.0,14.9,0.8472,0.037,0.02,32.0,60.1,52.0,Needs Improvement,Monitor quality risk,56.7,45.0,46.4,66.2,45.8,1.007,31,0.1935,15347771.0
SUP-006,Atlas Automotive S.A. de C.V.,Mexico,Electronics,196.0,38.8,0.8437,0.0346,0.0189,55.2,58.4,50.7,High Risk,Reduce dependency,65.2,43.6,50.2,39.4,42.6,0.9643,30,0.3667,16961069.0
SUP-025,Pioneer Tech Sp. z o.o.,Poland,Electronics; Powertrain,2233.0,11.2,0.8677,0.0281,0.0154,27.3,63.9,50.1,Needs Improvement,Keep as backup supplier,28.5,53.2,61.3,71.6,52.7,1.1472,90,0.3333,91395235.0
SUP-026,Helios Castings S.A. de C.V.,Mexico,Chassis,706.0,37.1,0.8833,0.022,0.0122,49.2,66.1,47.4,Needs Improvement,Keep as backup supplier,18.6,59.5,71.6,46.3,56.9,1.1965,62,0.2903,57548357.0
SUP-037,Rhein Electronics GmbH,Germany,Electronics; Interior; Powertrain; Thermal Management,1052.0,16.9,0.7792,0.0574,0.0311,27.9,51.2,46.3,Cost Efficient,Monitor quality risk,86.4,17.6,11.9,71.0,29.1,0.8589,121,0.1901,83380619.0
SUP-012,Kraft Tech S.A.,Spain,Electronics,877.0,20.9,0.786,0.054,0.0299,44.8,54.6,45.0,High Risk,Reduce dependency,84.1,20.4,17.2,51.4,35.5,0.8704,26,0.1538,11908481.0
SUP-056,Estala Electronics S.A. de C.V.,Mexico,Chassis; Interior,502.0,37.5,0.8613,0.0289,0.016,53.8,57.8,44.2,Needs Improvement,Keep as backup supplier,30.8,50.7,59.8,41.1,41.4,1.1357,64,0.2188,39599885.0
SUP-024,Umbra Mobility S.p.A.,Italy,Chassis; Electronics; Powertrain; Thermal Management,371.0,18.4,0.781,0.0568,0.0314,46.0,52.2,40.4,High Risk,Reduce dependency,75.7,18.4,12.5,50.0,31.1,0.9122,125,0.216,62894386.0
SUP-030,Kepler Mobility S.A.,Spain,Chassis; Electronics,761.0,21.3,0.7811,0.0574,0.0319,44.0,53.8,36.8,High Risk,Reduce dependency,62.1,18.4,11.3,52.3,34.1,0.9799,64,0.0938,32258798.0
SUP-002,"Onyx Drivetrain Co., Ltd.",China,Chassis; EV Components; Interior,4328.0,64.8,0.8267,0.0336,0.0177,76.0,52.9,36.7,High Risk,Reduce dependency,38.2,36.7,52.5,15.4,32.3,1.0989,92,0.2391,124684948.0
SUP-041,"Apex Electronics Co., Ltd.",China,Electronics; Interior,233.0,70.8,0.7447,0.0575,0.0317,89.0,39.5,17.7,High Risk,Reduce dependency,45.7,3.8,11.3,0.4,7.4,1.0616,60,0.1,31079881.0
SUP-052,"Atlas Tech Co., Ltd.",China,Chassis; Electronics; Powertrain,1708.0,70.2,0.7457,0.058,0.0324,88.8,40.0,15.5,High Risk,Reduce dependency,38.4,4.2,10.2,0.6,8.4,1.0979,127,0.1732,106478446.0
SUP-007,"Xenon Systems Co., Ltd.",China,Chassis; Electronics,404.0,70.2,0.7369,0.064,0.0346,89.3,35.5,15.4,High Risk,Reduce dependency,50.3,0.6,0.8,0.0,0.0,1.0384,62,0.1613,35667936.0
SUP-033,"Mercura Mobility Co., Ltd.",China,Chassis; Electronics; Powertrain,1699.0,71.2,0.7421,0.0599,0.0323,89.1,39.2,15.2,High Risk,Reduce dependency,40.8,2.7,7.8,0.2,6.9,1.0858,93,0.129,85747241.0
SUP-005,"Granta Components Co., Ltd.",China,Chassis; EV Components; Electronics,4737.0,70.8,0.7389,0.0602,0.0335,88.9,39.9,9.2,High Risk,Reduce dependency,22.0,1.4,6.5,0.5,8.2,1.1797,88,0.125,120219617.0
SUP-023,"Fenix Systems Co., Ltd.",China,Chassis,439.0,71.6,0.7353,0.0645,0.0346,88.5,39.9,1.0,High Risk,Reduce dependency,0.0,0.0,0.0,0.9,8.2,1.289,31,0.0323,19888682.0
